"Type","au_id_k","au_lname_s","au_lname_t","au_fname_s","au_fname_t","phone_s","phone_t","address_s","address_t","city_s","city_t","state_s","state_t","zip_s","zip_t","contract_s","contract_t"
"In1","465-19-5158","Hanna","","Stacey","","0055320440","","459 West Cowley Way","","Toledo","","MS","","47084","","True",""
"In1","465-34-6643","Chapman","","Alberto","","927-9875729","","187 Fabien Freeway","","Fort Worth","","OK","","18577","","True",""
"In1","467-83-7690","Riddle","","Tiffany","","873-5942192","","725 Milton Freeway","","Minneapolis","","NH","","10541","","False",""
"In1","467-86-6398","Cain","","Natalie","","4521884937","","398 South Fabien Parkway","","Houston","","NJ","","62121","","True",""
"In1","468-84-6524","Burch","","Mandi","","305-139-6736","","487 East First Road","","Albuquerque","","NY","","98935","","True",""
"In1","469-09-1866","Fuller","","Yvette","","9587752393","","936 Old Parkway","","Las Vegas","","MS","","35433","","False",""
"In1","469-39-1591","Hogan","","Ginger","","2583432183","","232 Rocky Nobel Drive","","Birmingham","","SD","","33140","","True",""
"In1","470-26-3666","Hartman","","Tomas","","8119987747","","515 Green Oak Avenue","","Tucson","","LA","","97302","","True",""
"In1","472-25-5361","Patton","","Doris","","424-426-2206","","139 Clarendon Way","","Santa Ana","","HI","","85479","","False",""
"In1","472-47-2343","Cooley","","Johnny","","660193-3128","","468 Milton Parkway","","Colorado","","FL","","04727","","False",""
"In1","472-58-0330","Wilkins","","Jenifer","","571648-1466","","48 North White Second Road","","Colorado","","MD","","81527","","False",""
"In1","472-74-3379","Harper","","Christi","","421-292-1630","","875 South Hague Blvd.","","Mobile","","ID","","52410","","False",""
"In1","472-83-9006","Zamora","","Constance","","093-107-6243","","745 North Rocky Oak Street","","St. Louis","","OR","","84587","","False",""
"In1","474-59-8546","Riddle","","Edward","","062-494-3190","","13 South Green Nobel St.","","Detroit","","SD","","02029","","True",""
"In1","478-43-5752","Bradshaw","","Richard","","421-0114546","","45 Rocky Oak Road","","Dayton","","OR","","16144","","True",""
"In1","478-99-7748","Shaffer","","Jake","","025514-6553","","<NULL>","","Grand Rapids","","AR","","31861","","True",""
"In1","479-48-3491","Vazquez","","Jenny","","234181-9603","","93 Rocky First Avenue","","Colorado","","VA","","71686","","True",""
"In1","480-88-1126","Harrell","","Margarita","","3642927261","","658 First St.","","Oakland","","ND","","74006","","True",""
"In1","481-14-9724","White","","Jeannie","","7109964453","","231 Green Second Freeway","","Shreveport","","HI","","72063","","False",""
"In1","481-71-7611","Dudley","","Penny","","147-645-1976","","88 Old Blvd.","","Oklahoma","","NE","","41807","","True",""
"In1","482-09-8706","Newman","","Theresa","","001-3431492","","74 Clarendon Drive","","Greensboro","","NY","","57946","","True",""
"In1","482-52-8115","Williamson","","Dante","","255-9745712","","668 New Parkway","","Baltimore","","MD","","95642","","False",""
"In1","483-19-5446","Crawford","","Tamiko","","208-593-5503","","43 West Clarendon Street","","Albuquerque","","IN","","62950","","True",""
"In1","485-25-8960","Ashley","","Tyler","","239-7036758","","11 South White Hague Drive","","Mobile","","SD","","63717","","False",""
"In1","485-68-6520","Thornton","","Randolph","","296-656-9676","","60 Cowley Blvd.","","Albuquerque","","MN","","61003","","True",""
"In1","486-92-3596","Moses","","Frederick","","4645349582","","20 Milton St.","","Raleigh","","WA","","29687","","True",""
"In1","489-16-0895","Callahan","","Eric","","137-965-4295","","565 Rocky Fabien Road","","Wichita","","VA","","65696","","False",""
"In1","489-69-7213","Campbell","","Charles","","673434-7584","","445 First St.","","Jackson","","NE","","86561","","False",""
"In1","492-89-8131","Dodson","","Grace","","9780416710","","922 White Fabien Avenue","","Cleveland","","WA","","12118","","False",""
"In1","493-10-4062","Morris","","Rhonda","","521105-1123","","268 Oak Parkway","","Tucson","","MT","","62440","","False",""
"In1","493-87-8123","Peck","","Dan","","250-228-4537","","181 White Old Avenue","","Baltimore","","<NULL>","","40310","","True",""
"In1","494-17-8591","Burke","","Lamar","","355-2002860","","744 Cowley Freeway","","Minneapolis","","NH","","66311","","True",""
"In1","495-23-9407","Ho","","Shana","","416-313-4697","","33 Fabien Way","","Glendale","","IA","","89200","","False",""
"In1","496-42-4288","Andersen","","Tony","","228-135-9187","","45 Rocky Fabien Parkway","","San Diego","","FL","","31189","","True",""
"In1","498-81-3981","Sanders","","Traci","","983708-4618","","50 Cowley Blvd.","","Chicago","","MI","","90584","","True",""
"In1","500-04-8353","Figueroa","","Marco","","856777-8280","","52 East Nobel Drive","","Hialeah","","WY","","13136","","False",""
"In1","501-29-0840","Mccall","","Darryl","","564485-8037","","20 Rocky Hague Boulevard","","Memphis","","NE","","65497","","True",""
"In1","503-00-4447","Bates","","Cara","","081-610-6430","","834 Cowley Blvd.","","St. Petersburg","","GA","","13468","","False",""
"In1","503-96-0046","Rhodes","","Grant","","535-8692223","","89 East Hague Road","","Bakersfield","","KY","","34042","","True",""
"In1","504-51-9367","Freeman","","Andre","","147-566-3919","","924 Hague Road","","Lubbock","","TX","","75111","","True",""
"In1","505-28-2848","Woodward","","Denise","","2352800398","","42 Fabien Avenue","","Dayton","","NY","","97694","","True",""
"In1","505-98-8434","Eaton","","Nora","","312-067-5304","","143 Rocky Milton Way","","Jackson","","AR","","83477","","True",""
"In1","506-31-2666","Heath","","Elias","","5491666408","","53 Cowley Parkway","","Fort Wayne","","FL","","78208","","True",""
"In1","506-90-3158","Compton","","Zachary","","443-161-2084","","323 North Clarendon Way","","Portland","","VA","","02576","","False",""
"In1","507-51-6751","Yang","","Dean","","370-9501971","","370 Green Hague Drive","","Minneapolis","","NY","","88931","","True",""
"In1","508-36-1827","Warner","","Kristy","","849-3202612","","11 North Hague St.","","Lubbock","","OR","","38753","","True",""
"In1","509-22-7134","Preston","","Chasity","","036-243-3605","","822 Green First Freeway","","Dayton","","PA","","61610","","False",""
"In1","509-96-7095","Roy","","Kelvin","","870169-8311","","98 Green Fabien Parkway","","Wichita","","NH","","18875","","False",""
"In1","511-25-3594","Simpson","","Dion","","4239772508","","46 Rocky Clarendon Blvd.","","Fresno","","CO","","21056","","False",""
"In1","512-39-0777","Pham","","Bridgett","","492-394-6138","","71 White Second Boulevard","","Bakersfield","","NJ","","18417","","False",""
"In1","514-47-2134","Snow","","Bridget","","919-820-6920","","<NULL>","","Shreveport","","OR","","19970","","False",""
"In1","516-95-7184","Parks","","Marilyn","","1052369154","","35 Rocky Fabien Drive","","Denver","","NH","","56874","","False",""
"In1","517-08-4859","Savage","","Monica","","7443722240","","988 East Rocky Fabien Blvd.","","Jersey","","AZ","","55828","","False",""
"In1","517-41-5291","Bradley","","Leigh","","0655325286","","70 East Green Clarendon St.","","Arlington","","FL","","90166","","True",""
"In1","518-67-8288","Andersen","","Dan","","614-007-2832","","109 Green Hague Street","","Portland","","OR","","56678","","False",""
"In1","519-70-1868","Carson","","Yesenia","","2322009832","","95 South Rocky First Street","","Seattle","","TN","","10062","","True",""
"In1","520-44-7308","Burch","","Sabrina","","5531365070","","366 Green Fabien Avenue","","Kansas","","OK","","24480","","False",""
"In1","521-50-2862","Jefferson","","Naomi","","8659713093","","269 First Way","","Lincoln","","WY","","46127","","False",""
"In1","521-86-3362","Pennington","","Kristie","","7318629128","","640 Milton Freeway","","St. Paul","","PA","","06468","","True",""
"In1","522-06-3906","Cuevas","","Tonya","","412-5688903","","731 White Old Street","","Charlotte","","MS","","41498","","False",""
"In1","522-14-8688","Valentine","","Noel","","124-8692895","","63 Rocky First Boulevard","","Tucson","","NY","","21605","","False",""
"In1","522-40-9769","Montoya","","Christie","","717-8365007","","310 Cowley Freeway","","Milwaukee","","MT","","33836","","False",""
"In1","524-64-3860","Kaiser","","Alyssa","","445672-4778","","25 White New Drive","","Mobile","","KS","","28396","","True",""
"In1","525-28-8690","Frye","","Anitra","","402-926-1687","","125 Old Parkway","","Cincinnati","","LA","","26805","","True",""
"In1","525-38-8955","Shaffer","","Mike","","890-1121522","","999 Oak Blvd.","","Fort Wayne","","WV","","78191","","True",""
"In1","525-75-2288","Cooper","","Sherry","","9043450687","","572 South Rocky Nobel Drive","","Oklahoma","","IA","","29773","","True",""
"In1","525-86-0882","Vaughan","","Trisha","","6650793291","","776 South Rocky Old Drive","","Grand Rapids","","OH","","11772","","False",""
"In1","526-14-8306","Ball","","Tracie","","189-4190336","","472 West Hague Road","","Lubbock","","UT","","29722","","True",""
"In1","527-40-5012","Barber","","Joel","","4894704208","","97 South Green Cowley Freeway","","San Antonio","","IL","","79667","","True",""
"In1","528-45-2554","Delacruz","","Alissa","","9470778790","","916 North Green Fabien Street","","Greensboro","","WY","","40449","","False",""
"In1","530-09-2056","Schneider","","Dustin","","0752064117","","23 White Old Parkway","","Boston","","VA","","95693","","False",""
"In1","531-25-0405","Winters","","Albert","","1033191547","","43 Old Drive","","Corpus Christi","","OH","","89126","","False",""
"In1","532-05-4564","Wolf","","Audra","","535505-8842","","601 North Rocky Fabien Boulevard","","Santa Ana","","VT","","28287","","True",""
"In1","532-39-8407","Sanchez","","Natalie","","969-132-9475","","417 Green First Road","","San Francisco","","HI","","14637","","True",""
"In1","532-98-2446","Brewer","","Seth","","802-209-4936","","54 Old Parkway","","San Jose","","CO","","54721","","True",""
"In1","533-21-9571","Braun","","Carlton","","533-664-1564","","30 Oak Drive","","Long Beach","","WY","","76897","","True",""
"In1","534-07-9435","Freeman","","Dianna","","557-3185326","","430 Second Freeway","","Yonkers","","GA","","69921","","False",""
"In1","534-59-4007","Mc Bride","","Steven","","5940101182","","49 Rocky Oak St.","","Santa Ana","","AL","","26801","","False",""
"In1","535-81-4645","Townsend","","Taryn","","9321388813","","14 East Oak Boulevard","","Madison","","VT","","60391","","True",""
"In1","537-01-4616","Robinson","","Eric","","6206645639","","68 West Cowley Street","","San Jose","","SC","","24424","","True",""
"In1","537-47-5501","Haynes","","Laura","","9783899712","","85 East White First Road","","Dallas","","NH","","26907","","True",""
"In1","540-26-3606","Blackburn","","Felicia","","330-993-2783","","40 West Old Freeway","","Raleigh","","NJ","","74151","","True",""
"In1","540-43-5142","Mayer","","Frances","","904067-3981","","370 West Cowley Way","","Las Vegas","","NV","","62008","","True",""
"In1","540-97-1869","Galloway","","Shana","","527-226-9051","","786 Green Fabien Boulevard","","Indianapolis","","NV","","80807","","True",""
"In1","542-32-3074","Lindsey","","Michele","","659026-1687","","258 East Rocky Nobel Blvd.","","Greensboro","","NM","","44725","","True",""
"In1","543-23-3633","Nash","","Danny","","679-4901448","","88 West Clarendon Way","","Montgomery","","CA","","85300","","True",""
"In1","544-59-3001","Paul","","Deanna","","751-1069644","","308 South Clarendon Way","","Fresno","","MT","","04146","","True",""
"In1","546-17-5402","Smith","","Clifford","","639-536-6240","","122 East Green Milton Blvd.","","Mesa","","LA","","58411","","False",""
"In1","547-91-1103","Morse","","Franklin","","0830545332","","19 North Nobel Drive","","Houston","","SD","","32390","","False",""
"In1","548-81-6330","Faulkner","","Emily","","657-3698762","","13 Green New Drive","","Washington","","MO","","16955","","False",""
"In1","551-43-0778","Gallagher","","Keisha","","457-405-2299","","61 White Clarendon Road","","Long Beach","","HI","","84088","","False",""
"In1","553-97-3197","Jarvis","","Zachary","","576-3041979","","63 Green Oak Blvd.","","Baton Rouge","","NJ","","15986","","False",""
"In1","554-92-1527","Leach","","Sherman","","7731092962","","486 Rocky Fabien Avenue","","Anaheim","","AZ","","97075","","True",""
"In1","554-96-0232","Pratt","","Vanessa","","1673005260","","40 Rocky Second Freeway","","Baton Rouge","","MD","","09151","","True",""
"In1","555-78-1562","Nicholson","","Henry","","3414275485","","99 East Green Milton Boulevard","","Cleveland","","VA","","65633","","False",""
"In1","559-38-1724","Giles","","Suzanne","","847509-4309","","489 Hague St.","","Lincoln","","IN","","84652","","False",""
"In1","560-90-4822","Krueger","","Bobby","","1611287660","","577 Oak Way","","<NULL>","","HI","","51724","","True",""
"In1","561-67-0592","Potter","","John","","3061562516","","15 Clarendon Avenue","","Arlington","","LA","","72301","","True",""
"In1","562-38-1366","Knox","","Nakia","","199-0457621","","224 White Hague Street","","Cincinnati","","GA","","67184","","True",""
"In1","562-46-4515","Cannon","","Brooke","","514-6471499","","825 Second Way","","Aurora","","AK","","61313","","False",""
"In1","562-53-6861","Shepherd","","Manuel","","486-1389031","","72 First St.","","Fremont","","KS","","41168","","False",""
"In1","564-02-0055","Walton","","Alice","","383-7182999","","786 Green Milton Way","","Dayton","","GA","","11073","","True",""
"In1","564-44-1867","Riggs","","Angie","","892-4261800","","297 Green First Avenue","","Las Vegas","","WY","","08293","","False",""
"In1","565-00-1604","Woods","","Carolyn","","553-607-5833","","76 Clarendon Drive","","<NULL>","","MO","","89605","","False",""
"In1","565-29-6323","Christian","","Dwayne","","5198671427","","49 Green First St.","","Tacoma","","WV","","95290","","False",""
"In1","565-39-8257","Graham","","Terrance","","502517-6687","","70 West Fabien Boulevard","","Pittsburgh","","CT","","42667","","True",""
"In1","566-62-3054","Turner","","Jeffery","","446-764-5331","","827 West Rocky Cowley Road","","St. Petersburg","","NV","","72488","","False",""
"In1","568-18-9404","Foley","","Amy","","262-6172984","","330 Green Second Way","","Nashville","","NM","","00911","","True",""
"In1","570-42-1153","Beltran","","Johnnie","","3716834500","","45 South Rocky Oak Freeway","","Tulsa","","MA","","74053","","True",""
"In1","570-48-4876","Larsen","","Claudia","","4032337537","","42 Rocky Clarendon Boulevard","","Los Angeles","","CO","","60455","","False",""
"In1","571-06-9415","Sherman","","Bobbie","","966975-4790","","888 Hague Avenue","","Los Angeles","","MN","","09521","","True",""
"In1","574-39-0046","Fleming","","Zachary","","482852-0963","","766 South Rocky First Way","","Minneapolis","","PA","","70551","","False",""
"In1","574-49-6757","Boyle","","Wesley","","585-331-6902","","171 New Road","","Phoenix","","GA","","17467","","False",""
"In1","574-61-0551","Bender","","Connie","","939-291-0129","","19 White Cowley Drive","","Newark","","PA","","91041","","False",""
"In1","575-04-0698","Mahoney","","Doris","","772425-1679","","44 New Boulevard","","Shreveport","","RI","","19020","","False",""
"In1","575-32-6865","Castaneda","","Gene","","973-8190658","","787 Old Blvd.","","Baton Rouge","","MN","","91308","","False",""
"In1","576-33-1324","Morales","","Aaron","","8371799659","","94 North Fabien Blvd.","","Santa Ana","","MD","","77666","","True",""
"In1","576-90-8757","Winters","","Alisa","","337029-4576","","163 Oak Boulevard","","Madison","","ID","","71039","","False",""
"In1","576-98-4537","Morris","","Salvatore","","6508445244","","40 North Rocky Old Way","","Houston","","KY","","57284","","True",""
"In1","577-21-3425","Tyler","","Shawna","","543-333-3210","","94 First Way","","Arlington","","OR","","64117","","False",""
"In1","578-83-0692","Hardin","","Vernon","","533963-5871","","22 Green Fabien Drive","","Lincoln","","OK","","88708","","True",""
"In1","579-31-6512","Powers","","Felix","","9061442493","","679 West Rocky Cowley Blvd.","","Hialeah","","NY","","66146","","True",""
"In1","580-93-4508","Barrett","","Edward","","0620981541","","58 White Oak Blvd.","","Detroit","","WV","","97715","","True",""
"In1","582-75-1525","Berger","","Austin","","057493-6175","","778 Rocky Milton Drive","","Bakersfield","","WA","","69949","","True",""
"In1","582-85-0967","Beltran","","Jeffery","","563331-6162","","42 South Clarendon Road","","Fort Worth","","SD","","41527","","True",""
"In1","583-56-9745","Bryant","","Kristin","","937-5049873","","731 White Second Blvd.","","El Paso","","MN","","53116","","True",""
"In1","584-25-9220","Fry","","Damian","","4526921661","","41 Fabien Freeway","","El Paso","","KY","","14352","","True",""
"In1","584-45-8986","Fischer","","Brenda","","253-428-4865","","21 West Nobel Freeway","","Cincinnati","","WY","","52303","","False",""
"In1","585-22-6730","Holden","","Hugh","","926-9643169","","45 Green First Road","","Chicago","","ME","","44330","","True",""
"In1","588-33-9820","Burgess","","Efrain","","638-002-2319","","59 South First Freeway","","Milwaukee","","CO","","50940","","True",""
"In1","591-26-0635","Jenkins","","Tasha","","446-7065435","","72 White Nobel Blvd.","","San Francisco","","NV","","89005","","False",""
"In1","591-34-6399","Duran","","Irma","","3699926561","","14 East Green Nobel Freeway","","Houston","","NJ","","55349","","False",""
"In1","592-15-6523","Maxwell","","Darin","","829412-0412","","978 Hague Parkway","","Santa Ana","","MO","","46487","","False",""
"In1","594-12-8589","Pope","","Damion","","782-970-5892","","658 Rocky Hague Boulevard","","Des Moines","","AL","","12781","","True",""
"In1","594-57-0615","Alvarez","","Summer","","5396909365","","65 West Hague St.","","Jackson","","OK","","46724","","True",""
"In1","594-61-6755","Phelps","","Terry","","5108952975","","583 North Green New Street","","St. Petersburg","","NV","","97933","","True",""
"In1","595-59-9976","Graves","","Phillip","","077-3368237","","95 First St.","","Richmond","","AR","","22485","","True",""
"In1","596-50-0259","Newman","","Roy","","186692-0731","","19 East Oak Street","","San Jose","","SD","","34676","","False",""
"In1","596-80-6536","Estes","","Ramiro","","154-012-3943","","65 Rocky Fabien Drive","","Santa Ana","","MT","","02911","","True",""
"In1","598-18-5292","Chan","","Sally","","823-095-2572","","81 New Way","","Santa Ana","","ND","","65916","","True",""
"In1","598-66-9364","Joseph","","Nathaniel","","642-542-2438","","220 White First Parkway","","Arlington","","RI","","34452","","True",""
"In1","599-32-1640","Nelson","","Aaron","","341-693-1674","","113 White Milton Way","","St. Petersburg","","NV","","90148","","True",""
"In1","600-10-1997","Webster","","Tracie","","1188861163","","50 Clarendon Drive","","Denver","","ID","","74384","","True",""
"In1","600-13-7352","Shaw","","Adam","","3146981125","","48 Second Parkway","","Fort Wayne","","IN","","45421","","False",""
"In1","600-70-4386","Mc Clure","","Camille","","164855-8049","","56 Cowley Freeway","","San Jose","","CT","","43702","","False",""
"In1","601-14-5720","Cannon","","Nikki","","5624834866","","827 Green Clarendon Road","","Colorado","","TN","","62220","","False",""
"In1","601-55-2513","Wilcox","","Latasha","","991-240-6175","","562 South White Cowley Way","","Akron","","OH","","98908","","True",""
"In1","602-45-8367","Bautista","","Kristine","","6257155322","","355 West White Cowley Parkway","","Long Beach","","MI","","45207","","False",""
"In1","603-81-3639","Wise","","Roland","","505597-7160","","133 Green Clarendon Way","","Riverside","","TX","","91083","","False",""
"In1","604-08-1867","Zhang","","Doris","","915-9849948","","40 Green Fabien Parkway","","Nashville","","IL","","55340","","False",""
"In1","604-27-9669","Bauer","","Angelique","","208-250-8876","","98 East Fabien Boulevard","","Tulsa","","WA","","03689","","True",""
"In1","606-69-3243","Duran","","Patrice","","074-087-4474","","83 Second Way","","Rochester","","NY","","70742","","False",""
"In1","607-24-5871","Thornton","","Jamal","","569-423-4704","","20 Old Boulevard","","Norfolk","","CO","","67287","","False",""
"In1","607-95-4174","Bradford","","Warren","","196-829-1345","","<NULL>","","Newark","","AZ","","<NULL>","","True",""
"In1","608-09-8563","Mills","","Jill","","794-804-8458","","661 Rocky Oak Blvd.","","San Francisco","","ID","","72643","","False",""
"In1","608-15-9537","Molina","","Beverly","","6123268322","","770 North Green Milton Parkway","","Oakland","","VA","","26568","","False",""
"In1","608-62-8438","Colon","","Christa","","097-319-6311","","135 West Oak Street","","Columbus","","SD","","78940","","False",""
"In1","615-16-2153","Waters","","Gavin","","0398352585","","575 Fabien St.","","Tucson","","UT","","23102","","False",""
"In1","615-46-4120","Browning","","Sheldon","","146873-4156","","279 White First Way","","Minneapolis","","NE","","61001","","True",""
"In1","616-77-3511","Calderon","","Francis","","031-2801003","","96 South Second Parkway","","Grand Rapids","","WY","","42455","","False",""
"In1","616-78-2885","Nelson","","Sally","","410046-2418","","69 White Clarendon Way","","Fremont","","WA","","90365","","True",""
"In1","616-89-7888","Lane","","Douglas","","2145724518","","853 Cowley Blvd.","","<NULL>","","UT","","54563","","False",""
"In1","618-37-3516","Roy","","Jennie","","223333-8667","","845 Nobel Parkway","","Wichita","","NC","","97833","","False",""
"In1","618-96-2318","Rollins","","Teddy","","972-2178611","","33 Rocky Second Road","","Fremont","","PA","","45584","","True",""
"In1","621-29-9628","Calhoun","","Bryce","","284-460-5328","","91 Oak Freeway","","Milwaukee","","WA","","11567","","True",""
"In1","625-61-4600","Conley","","Allan","","080426-6620","","862 Green Milton Avenue","","Charlotte","","NM","","59973","","False",""
"In1","628-36-2946","Lam","","Donald","","427-821-3615","","38 White Fabien Street","","Tacoma","","TX","","22109","","True",""
"In1","628-60-3979","West","","Joe","","052-3007652","","64 Old Parkway","","Portland","","MO","","09965","","False",""
"In1","629-44-9170","Sullivan","","Duane","","013510-2417","","73 New Blvd.","","Baton Rouge","","MI","","09457","","False",""
"In1","629-49-5585","Montes","","Levi","","164-3579114","","222 Green Nobel Way","","Fort Wayne","","KY","","26088","","False",""
"In1","629-65-3503","Cherry","","Trent","","482953-4531","","684 West First St.","","Chicago","","TN","","53532","","True",""
"In1","629-90-4202","Ibarra","","Evelyn","","2282345374","","923 Clarendon Avenue","","Arlington","","SD","","20350","","False",""
"In1","632-03-8411","Nelson","","Lara","","3775517847","","89 White Old St.","","Charlotte","","TX","","84386","","False",""
"In1","632-19-4271","Clements","","Stephan","","873-559-7172","","49 Green Nobel Street","","Los Angeles","","VA","","36788","","False",""
"In1","632-29-7512","Ramos","","Vickie","","355416-5920","","955 Nobel Street","","Philadelphia","","UT","","38641","","True",""
"In1","635-80-9040","Arias","","Marisol","","423331-9937","","11 Fabien Street","","Mesa","","NH","","31381","","True",""
"In1","636-73-7045","Richardson","","Darlene","","670-3631950","","144 West Rocky Cowley Blvd.","","Washington","","KY","","36527","","True",""
"In1","637-50-0457","House","","Charlie","","995802-8980","","504 First Blvd.","","Baltimore","","MI","","10105","","False",""
"In1","637-98-9296","Bond","","Felipe","","6784324686","","478 Fabien Blvd.","","Baton Rouge","","PA","","78033","","False",""
"In1","639-56-7333","Anderson","","Cindy","","311-102-6569","","372 Old Parkway","","Aurora","","GA","","71171","","False",""
"In1","639-90-7107","Sexton","","Terri","","932-654-6729","","195 Green First Drive","","Yonkers","","NM","","48444","","True",""
"In1","640-23-3031","Singleton","","Bridget","","135-421-0473","","720 First St.","","Madison","","NJ","","61573","","True",""
"In1","642-04-6774","Petty","","Cecilia","","990-8560277","","467 White Old Parkway","","Minneapolis","","MO","","84100","","False",""
"In1","646-72-6398","Villegas","","Tamara","","600-424-3726","","64 White Cowley Drive","","Baton Rouge","","AL","","24466","","True",""
"In1","648-44-2035","Ho","","Catherine","","583754-8292","","275 North Hague Way","","Fremont","","WV","","46202","","False",""
"In1","650-13-6911","Farley","","Christina","","236759-0553","","21 Milton Street","","Anchorage","","NM","","09212","","True",""
"In1","650-61-3268","Doyle","","Norma","","244738-8237","","626 New Way","","Fort Wayne","","TN","","77280","","False",""
"In1","652-32-9654","Price","","Alejandro","","986031-4498","","294 New Blvd.","","Louisville","","AR","","58963","","False",""
"In1","653-45-2782","Dennis","","Jodi","","2223017068","","690 New Avenue","","Montgomery","","NE","","67290","","True",""
"In1","654-67-5246","Orr","","Matt","","6172836869","","97 Old Parkway","","Toledo","","WV","","44570","","True",""
"In1","655-67-6865","Cunningham","","Brad","","393-712-1576","","13 Rocky New Boulevard","","Des Moines","","MI","","71466","","True",""
"In1","658-60-5022","Costa","","Billie","","8138791414","","723 North New Avenue","","Detroit","","MS","","20916","","True",""
"In1","659-20-2586","Gentry","","Belinda","","4883371421","","982 East White Second St.","","Santa Ana","","WA","","18765","","True",""
"In1","660-52-8017","Norris","","Albert","","571-7226360","","172 Green Old Avenue","","Hialeah","","MA","","95603","","False",""
"In1","661-66-0198","Arroyo","","Hope","","813-248-1458","","709 West Milton Blvd.","","Hialeah","","IL","","48259","","True",""
"In1","662-38-5383","Beltran","","Cara","","5240950976","","38 Fabien Street","","Omaha","","NV","","55442","","False",""
"In1","664-27-6643","Pugh","","Kari","","466-038-3436","","304 North Green Clarendon Boulevard","","Chicago","","MS","","31051","","False",""
"In1","664-32-4104","Wu","","Tracy","","836-7656020","","223 Green First Avenue","","Mesa","","MN","","24079","","False",""
"In1","664-79-1981","Franco","","Ian","","672-909-5909","","67 Rocky Hague Freeway","","Baltimore","","UT","","84597","","True",""
"In1","665-03-2230","Hancock","","Erick","","3096749318","","472 New Blvd.","","Oklahoma","","NJ","","54710","","True",""
"In1","665-03-8947","Garza","","Ian","","799-997-3942","","729 Fabien St.","","Honolulu","","AZ","","33248","","False",""
"In1","666-00-8212","Bullock","","Rafael","","623585-7153","","126 New Freeway","","Anchorage","","HI","","63584","","False",""
"In1","666-85-8410","Schaefer","","Candace","","692-367-6127","","82 Clarendon Boulevard","","Stockton","","MT","","71669","","False",""
"In1","667-77-2952","Orr","","Alisa","","956-6751506","","884 West Green Fabien Avenue","","Fort Worth","","ND","","18639","","False",""
"In1","669-46-6204","Romero","","Amie","","165-139-5438","","48 Rocky Fabien Drive","","Buffalo","","NJ","","38518","","False",""
"In1","671-97-1998","Love","","Dan","","528-072-3195","","528 Cowley Avenue","","Bakersfield","","SD","","19980","","True",""
"In1","672-83-0864","Strickland","","Tracey","","749-849-1047","","570 Rocky Cowley Freeway","","Columbus","","CO","","79523","","False",""
"In1","673-88-2145","Hebert","","Duane","","325-176-0672","","92 New Freeway","","St. Paul","","CO","","00140","","False",""
"In1","674-17-9990","Shelton","","Omar","","284-179-8717","","83 Green Cowley Freeway","","Indianapolis","","AL","","11896","","False",""
"In1","674-98-4191","Roy","","Vernon","","4925538346","","606 Rocky New Avenue","","Long Beach","","GA","","52902","","False",""
"In1","675-16-4286","Lynn","","Diana","","412-605-6686","","505 Rocky Second St.","","New Orleans","","VT","","32737","","True",""
"In1","675-57-1731","Mc Intyre","","Dexter","","603744-4741","","15 Rocky New Blvd.","","Corpus Christi","","UT","","21682","","True",""
"In1","675-78-4796","Morton","","Johnathan","","7836426422","","43 New Boulevard","","Mobile","","CO","","97960","","True",""
"In1","675-85-0596","Golden","","Lloyd","","247833-6567","","638 Cowley Way","","Bakersfield","","MD","","18354","","False",""
"In1","676-68-2791","Baker","","Demond","","2145855018","","96 Oak Drive","","St. Petersburg","","DE","","83452","","False",""
"In1","676-82-7281","Chapman","","Alexander","","882896-0095","","44 Clarendon Avenue","","New York","","WY","","22382","","True",""
"In1","677-20-3792","Leonard","","Keisha","","8139839274","","292 East Milton Avenue","","Fresno","","MO","","36494","","True",""
"In1","678-53-4092","Hester","","Emma","","630-6220981","","572 Hague Road","","Jersey","","TN","","27822","","True",""
"In1","680-88-0746","Saunders","","Lamont","","363752-6817","","500 Cowley Road","","Raleigh","","WI","","58197","","False",""
"In1","680-91-4674","Bryant","","Aaron","","090-6468272","","893 Oak Parkway","","Colorado","","GA","","61283","","True",""
"In1","681-09-9421","Kirby","","Sharon","","369308-6562","","95 Green Oak Boulevard","","Phoenix","","MN","","40098","","False",""
"In1","683-14-2471","Townsend","","Jesus","","8189759099","","67 East White Milton Blvd.","","St. Petersburg","","MS","","91516","","True",""
"In1","684-26-8421","Webster","","Chanda","","359900-3416","","30 Second Street","","Dallas","","MT","","99448","","True",""
"In1","684-32-1161","Solis","","Abel","","9981854436","","369 Nobel Avenue","","Detroit","","KY","","46411","","False",""
"In1","684-48-7788","Montes","","Dewayne","","1705776845","","63 North Clarendon Street","","El Paso","","UT","","05734","","True",""
"In1","685-36-4613","Meyers","","Bobbi","","936437-9479","","43 White Second Boulevard","","Miami","","CT","","97505","","False",""
"In1","685-60-9556","Bates","","Tania","","6631762999","","117 Old Road","","Akron","","PA","","88169","","False",""
"In1","686-27-8823","Turner","","Gail","","2902116614","","544 Green New Freeway","","Virginia Beach","","MO","","13020","","False",""
"In1","687-46-7337","Brewer","","Eric","","471887-1251","","54 Old Street","","Fort Worth","","WI","","32320","","False",""
"In1","687-98-5645","Black","","Salvador","","265704-6608","","478 East New Parkway","","Detroit","","WY","","31692","","False",""
"In1","689-10-0474","Ryan","","Jonathon","","945-424-7958","","68 Green Hague Parkway","","Cincinnati","","AR","","96749","","True",""
